date,delay,distance,origin,destination
1051525,-5,137,ABI,DFW
1061400,2,137,ABI,DFW
1061525,22,137,ABI,DFW
1071400,-12,137,ABI,DFW
1071525,-15,137,ABI,DFW
1081525,21,137,ABI,DFW
1091525,-8,137,ABI,DFW
1101525,4,137,ABI,DFW
1111525,-23,137,ABI,DFW
1121525,-9,137,ABI,DFW
1131525,-12,137,ABI,DFW
1141525,-5,137,ABI,DFW
1151525,-17,137,ABI,DFW
1161525,2,137,ABI,DFW
1171525,-9,137,ABI,DFW
1181525,-5,137,ABI,DFW
1191525,-3,137,ABI,DFW
1201525,-6,137,ABI,DFW
1211525,-17,137,ABI,DFW
1221525,40,137,ABI,DFW
1231525,-12,137,ABI,DFW
1241525,21,137,ABI,DFW
1251525,-6,137,ABI,DFW
1261525,-12,137,ABI,DFW
1271525,-13,137,ABI,DFW
1281525,-10,137,ABI,DFW
1291525,146,137,ABI,DFW
1301525,-13,137,ABI,DFW
1311525,6,137,ABI,DFW
1010925,-9,137,ABI,DFW
1011730,72,137,ABI,DFW
1010700,-5,137,ABI,DFW
1011155,-6,137,ABI,DFW
1010810,62,137,ABI,DFW
1020550,-7,137,ABI,DFW
1020925,7,137,ABI,DFW
1021730,27,137,ABI,DFW
1020700,150,137,ABI,DFW
1021155,0,137,ABI,DFW
1020810,1,137,ABI,DFW
1030550,51,137,ABI,DFW
1030925,-7,137,ABI,DFW
1031730,-18,137,ABI,DFW
1030700,2,137,ABI,DFW
1031155,48,137,ABI,DFW
1030810,-3,137,ABI,DFW
1040925,-7,137,ABI,DFW
1041730,135,137,ABI,DFW
1040700,-3,137,ABI,DFW
1041155,-2,137,ABI,DFW
1040810,-12,137,ABI,DFW
1050550,-8,137,ABI,DFW
1050925,-10,137,ABI,DFW
1051730,-2,137,ABI,DFW
1050700,-6,137,ABI,DFW
1051155,-2,137,ABI,DFW
1050810,-12,137,ABI,DFW
1060550,-8,137,ABI,DFW
1060925,0,137,ABI,DFW
1061730,-7,137,ABI,DFW
1060700,-3,137,ABI,DFW
1061155,-4,137,ABI,DFW
1060810,-8,137,ABI,DFW
1070550,-3,137,ABI,DFW
1070925,62,137,ABI,DFW
1071730,0,137,ABI,DFW
1070700,4,137,ABI,DFW
1071155,10,137,ABI,DFW
1070810,-10,137,ABI,DFW
1080550,-9,137,ABI,DFW
1080925,-11,137,ABI,DFW
1081730,7,137,ABI,DFW
1080700,-8,137,ABI,DFW
1081155,-11,137,ABI,DFW
1080810,-13,137,ABI,DFW
1081400,10,137,ABI,DFW
1090550,395,137,ABI,DFW
1090925,0,137,ABI,DFW
1091730,38,137,ABI,DFW
1090700,6,137,ABI,DFW
1091155,21,137,ABI,DFW
1090810,16,137,ABI,DFW
1091400,-6,137,ABI,DFW
1100550,-4,137,ABI,DFW
1100925,34,137,ABI,DFW
1101730,-2,137,ABI,DFW
1100700,129,137,ABI,DFW
1101155,-1,137,ABI,DFW
1100810,-11,137,ABI,DFW
1101400,30,137,ABI,DFW
1110905,-8,137,ABI,DFW
1111730,-14,137,ABI,DFW
1110700,-5,137,ABI,DFW
1111155,16,137,ABI,DFW
1110810,-6,137,ABI,DFW
1111400,39,137,ABI,DFW
1120550,-12,137,ABI,DFW
1120925,-5,137,ABI,DFW
1121730,-9,137,ABI,DFW
1120700,35,137,ABI,DFW
1121155,158,137,ABI,DFW
1120810,-9,137,ABI,DFW
1121400,-9,137,ABI,DFW
1130550,-5,137,ABI,DFW
1130925,-7,137,ABI,DFW
1131730,-9,137,ABI,DFW
1130700,-9,137,ABI,DFW
1131155,-10,137,ABI,DFW
1130810,-7,137,ABI,DFW
1131400,-1,137,ABI,DFW
1140550,0,137,ABI,DFW
1140925,4,137,ABI,DFW
1141730,-13,137,ABI,DFW
1140700,49,137,ABI,DFW
1141155,-10,137,ABI,DFW
1140810,-8,137,ABI,DFW
1141400,-17,137,ABI,DFW
1150550,-11,137,ABI,DFW
1150925,-6,137,ABI,DFW
1151730,-9,137,ABI,DFW
1150700,-8,137,ABI,DFW
1151155,-5,137,ABI,DFW
1150810,-12,137,ABI,DFW
1151400,-3,137,ABI,DFW
1160550,-2,137,ABI,DFW
1160925,-12,137,ABI,DFW
1161730,-3,137,ABI,DFW
1160700,-8,137,ABI,DFW
1161155,56,137,ABI,DFW
1160810,-10,137,ABI,DFW
1161400,8,137,ABI,DFW
1170550,-1,137,ABI,DFW
1170925,-6,137,ABI,DFW
1171730,-5,137,ABI,DFW
1170700,-12,137,ABI,DFW
1171155,18,137,ABI,DFW
1170810,-11,137,ABI,DFW
1171400,-7,137,ABI,DFW
1180905,-7,137,ABI,DFW
1181730,-9,137,ABI,DFW
1180700,-10,137,ABI,DFW
1181155,-11,137,ABI,DFW
1180810,-13,137,ABI,DFW
1181400,6,137,ABI,DFW
1190550,-12,137,ABI,DFW
1190925,-12,137,ABI,DFW
1191730,-12,137,ABI,DFW
1190700,-9,137,ABI,DFW
1191155,-11,137,ABI,DFW
1190810,-22,137,ABI,DFW
1191400,-12,137,ABI,DFW
1200550,-9,137,ABI,DFW
1200925,-8,137,ABI,DFW
1201730,-8,137,ABI,DFW
1200700,-8,137,ABI,DFW
1201155,-5,137,ABI,DFW
1200810,19,137,ABI,DFW
1201400,3,137,ABI,DFW
1210550,-7,137,ABI,DFW
1210925,29,137,ABI,DFW
1211730,-9,137,ABI,DFW
1210700,-2,137,ABI,DFW
1211155,0,137,ABI,DFW
1210810,-8,137,ABI,DFW
1211400,-11,137,ABI,DFW
1220550,-12,137,ABI,DFW
1220925,-8,137,ABI,DFW
1221730,-10,137,ABI,DFW
1220700,-8,137,ABI,DFW
1221155,-6,137,ABI,DFW
1220810,-8,137,ABI,DFW
1221400,-4,137,ABI,DFW
1230550,-10,137,ABI,DFW
1230925,15,137,ABI,DFW
1231730,-7,137,ABI,DFW
1230700,-8,137,ABI,DFW
1231155,-5,137,ABI,DFW
1230810,-3,137,ABI,DFW
1231400,37,137,ABI,DFW
1240550,-8,137,ABI,DFW
1240925,-7,137,ABI,DFW
1241730,61,137,ABI,DFW
1240700,-14,137,ABI,DFW
1241155,-6,137,ABI,DFW
1240810,-6,137,ABI,DFW
1241400,-7,137,ABI,DFW
1250905,-13,137,ABI,DFW
1251730,-14,137,ABI,DFW
1250700,-6,137,ABI,DFW
1251155,-5,137,ABI,DFW
1250810,-14,137,ABI,DFW
1251400,-26,137,ABI,DFW
1260550,-8,137,ABI,DFW
1260925,-8,137,ABI,DFW
1261730,-4,137,ABI,DFW
1260700,-9,137,ABI,DFW
1261155,-13,137,ABI,DFW
1260810,-9,137,ABI,DFW
1261400,-11,137,ABI,DFW
1270550,-7,137,ABI,DFW
1270925,-5,137,ABI,DFW
1271730,-3,137,ABI,DFW
1270700,-7,137,ABI,DFW
1271155,-6,137,ABI,DFW
1270810,-10,137,ABI,DFW
1271400,-9,137,ABI,DFW
1280550,0,137,ABI,DFW
1280925,-4,137,ABI,DFW
1281730,-10,137,ABI,DFW
1280700,-6,137,ABI,DFW
1281155,-4,137,ABI,DFW
1280810,-5,137,ABI,DFW
1281400,-6,137,ABI,DFW
1290550,-5,137,ABI,DFW
1290925,57,137,ABI,DFW
1291730,8,137,ABI,DFW
1290700,-6,137,ABI,DFW
1291155,3,137,ABI,DFW
1290810,-8,137,ABI,DFW
1291400,-13,137,ABI,DFW
1300550,-4,137,ABI,DFW
1300925,-6,137,ABI,DFW
1301730,-7,137,ABI,DFW
1300700,-7,137,ABI,DFW
1301155,-6,137,ABI,DFW
1300810,-11,137,ABI,DFW
1301400,-13,137,ABI,DFW
1310550,-2,137,ABI,DFW
1310925,27,137,ABI,DFW
1311730,-6,137,ABI,DFW
1310700,-7,137,ABI,DFW
1311155,2,137,ABI,DFW
1310810,29,137,ABI,DFW
1311400,-13,137,ABI,DFW
1011405,1,494,ABQ,DFW
1011520,0,494,ABQ,DFW
1010605,-5,494,ABQ,DFW
1010835,-7,494,ABQ,DFW
1010730,-1,494,ABQ,DFW
1011030,-2,494,ABQ,DFW
1011135,-2,494,ABQ,DFW
1021405,8,494,ABQ,DFW
1021520,1,494,ABQ,DFW
1020605,118,494,ABQ,DFW
1020835,59,494,ABQ,DFW
1020730,87,494,ABQ,DFW
1021030,85,494,ABQ,DFW
1021135,115,494,ABQ,DFW
1021655,87,494,ABQ,DFW
1031405,38,494,ABQ,DFW
1031520,36,494,ABQ,DFW
1030605,2,494,ABQ,DFW
1030835,33,494,ABQ,DFW
1030730,-4,494,ABQ,DFW
1031030,-1,494,ABQ,DFW
1031135,-7,494,ABQ,DFW
1031655,85,494,ABQ,DFW
1041405,0,494,ABQ,DFW
1041520,0,494,ABQ,DFW
1040605,1,494,ABQ,DFW
1040835,-7,494,ABQ,DFW
1040730,0,494,ABQ,DFW
1041030,10,494,ABQ,DFW
1041135,-4,494,ABQ,DFW
1051405,47,494,ABQ,DFW
1051520,59,494,ABQ,DFW
1050605,1,494,ABQ,DFW
1050835,-2,494,ABQ,DFW
1050730,-2,494,ABQ,DFW
1051030,30,494,ABQ,DFW
1051135,9,494,ABQ,DFW
1051655,9,494,ABQ,DFW
1061405,25,494,ABQ,DFW
1061520,36,494,ABQ,DFW
1060605,-4,494,ABQ,DFW
1060835,-2,494,ABQ,DFW
1060730,-7,494,ABQ,DFW
1061030,-3,494,ABQ,DFW
1061135,71,494,ABQ,DFW
1061655,0,494,ABQ,DFW
1071405,78,494,ABQ,DFW
1071520,4,494,ABQ,DFW
1070605,0,494,ABQ,DFW
1070835,173,494,ABQ,DFW
1070730,-4,494,ABQ,DFW
1071030,1,494,ABQ,DFW
1071135,0,494,ABQ,DFW
1081405,-6,494,ABQ,DFW
1081520,17,494,ABQ,DFW
1080605,-7,494,ABQ,DFW
1080835,-6,494,ABQ,DFW
1080730,-5,494,ABQ,DFW
1081030,-6,494,ABQ,DFW
1081135,-1,494,ABQ,DFW
1091405,18,494,ABQ,DFW
1091520,-3,494,ABQ,DFW
1090605,-8,494,ABQ,DFW
1090835,-12,494,ABQ,DFW
1090730,-8,494,ABQ,DFW
1091030,9,494,ABQ,DFW
1091135,0,494,ABQ,DFW
1101405,-6,494,ABQ,DFW
1101520,-8,494,ABQ,DFW
1100605,-10,494,ABQ,DFW
1100835,-15,494,ABQ,DFW
1100730,-6,494,ABQ,DFW
1101030,-4,494,ABQ,DFW
1101135,-14,494,ABQ,DFW
1111405,43,494,ABQ,DFW
1111520,-8,494,ABQ,DFW
1110605,-6,494,ABQ,DFW
1110835,-9,494,ABQ,DFW
1110730,-8,494,ABQ,DFW
1111030,-7,494,ABQ,DFW
1111135,3,494,ABQ,DFW
1121405,-9,494,ABQ,DFW
1121520,-7,494,ABQ,DFW
1120835,-11,494,ABQ,DFW
1120730,-4,494,ABQ,DFW
1121030,-1,494,ABQ,DFW
1121135,-9,494,ABQ,DFW
1131405,2,494,ABQ,DFW
1131520,-12,494,ABQ,DFW
1130605,-8,494,ABQ,DFW
1130835,-12,494,ABQ,DFW
1130730,-3,494,ABQ,DFW
1131030,-10,494,ABQ,DFW
1131135,-7,494,ABQ,DFW
1141405,-6,494,ABQ,DFW
1141520,-4,494,ABQ,DFW
1140605,-5,494,ABQ,DFW
1140835,-7,494,ABQ,DFW
1140730,-9,494,ABQ,DFW
1141030,-7,494,ABQ,DFW
1141135,-6,494,ABQ,DFW
1151405,-3,494,ABQ,DFW
1151520,-4,494,ABQ,DFW
1150605,-4,494,ABQ,DFW
1150835,-10,494,ABQ,DFW
1150730,4,494,ABQ,DFW
1151030,-8,494,ABQ,DFW
1151135,-8,494,ABQ,DFW
1161405,43,494,ABQ,DFW
1161520,58,494,ABQ,DFW
1160605,-3,494,ABQ,DFW
1160835,-8,494,ABQ,DFW
1160730,-6,494,ABQ,DFW
1161030,-6,494,ABQ,DFW
1161135,-4,494,ABQ,DFW
1171405,-5,494,ABQ,DFW
1171520,-1,494,ABQ,DFW
1170605,-6,494,ABQ,DFW
1170835,0,494,ABQ,DFW
1170730,8,494,ABQ,DFW
1171030,-6,494,ABQ,DFW
1171135,-1,494,ABQ,DFW
1181405,0,494,ABQ,DFW
1181520,38,494,ABQ,DFW
1180605,-12,494,ABQ,DFW
1180835,-9,494,ABQ,DFW
1180730,-4,494,ABQ,DFW
1181030,-9,494,ABQ,DFW
1181135,-4,494,ABQ,DFW
1191405,-2,494,ABQ,DFW
1191520,-4,494,ABQ,DFW
1190835,-8,494,ABQ,DFW
1190730,-9,494,ABQ,DFW
1191030,-15,494,ABQ,DFW
1191135,-8,494,ABQ,DFW
1201405,-4,494,ABQ,DFW
1201520,-10,494,ABQ,DFW
1200605,-3,494,ABQ,DFW
1200835,-6,494,ABQ,DFW
1200730,-3,494,ABQ,DFW
1201030,-10,494,ABQ,DFW
1201135,-8,494,ABQ,DFW
1211405,-8,494,ABQ,DFW
1211520,2,494,ABQ,DFW
1210605,-12,494,ABQ,DFW
1210835,-9,494,ABQ,DFW
1210730,-12,494,ABQ,DFW
1211030,-5,494,ABQ,DFW
1211135,-11,494,ABQ,DFW
1221405,-9,494,ABQ,DFW
1221520,-6,494,ABQ,DFW
1220605,-10,494,ABQ,DFW
1220835,-7,494,ABQ,DFW
1220730,-4,494,ABQ,DFW
1221030,87,494,ABQ,DFW
1221135,-4,494,ABQ,DFW
1231405,76,494,ABQ,DFW
1231520,33,494,ABQ,DFW
1230605,-5,494,ABQ,DFW
1230835,-5,494,ABQ,DFW
1230730,-6,494,ABQ,DFW
1231030,62,494,ABQ,DFW
1231135,-1,494,ABQ,DFW
1241405,79,494,ABQ,DFW
1241520,6,494,ABQ,DFW
1240605,68,494,ABQ,DFW
1240835,3,494,ABQ,DFW
1240730,97,494,ABQ,DFW
1241030,-2,494,ABQ,DFW
1241135,0,494,ABQ,DFW
1251405,-7,494,ABQ,DFW
1251520,11,494,ABQ,DFW
1250605,-10,494,ABQ,DFW
1250835,-13,494,ABQ,DFW
1250730,-2,494,ABQ,DFW
1251030,-4,494,ABQ,DFW
1251135,-9,494,ABQ,DFW
1261405,-5,494,ABQ,DFW
1261520,11,494,ABQ,DFW
1260835,-5,494,ABQ,DFW
1260730,-2,494,ABQ,DFW
1261030,-6,494,ABQ,DFW
1261135,1,494,ABQ,DFW
1271405,-11,494,ABQ,DFW
1271520,-2,494,ABQ,DFW
1270605,0,494,ABQ,DFW
1270835,-13,494,ABQ,DFW
1270730,-12,494,ABQ,DFW
1271030,-6,494,ABQ,DFW
1271135,2,494,ABQ,DFW
1281405,0,494,ABQ,DFW
1281520,-8,494,ABQ,DFW
1280605,-12,494,ABQ,DFW
1280835,-4,494,ABQ,DFW
1280730,-10,494,ABQ,DFW
1281030,-6,494,ABQ,DFW
1281135,-7,494,ABQ,DFW
1291405,8,494,ABQ,DFW
1291520,-4,494,ABQ,DFW
1290605,-6,494,ABQ,DFW
1290835,1,494,ABQ,DFW
1290730,-6,494,ABQ,DFW
1291030,-4,494,ABQ,DFW
1291135,19,494,ABQ,DFW
1301405,-4,494,ABQ,DFW
1301520,-3,494,ABQ,DFW
1300605,-7,494,ABQ,DFW
1300835,-3,494,ABQ,DFW
1300730,-3,494,ABQ,DFW
1301030,0,494,ABQ,DFW
1301135,-1,494,ABQ,DFW
1311405,3,494,ABQ,DFW
1311520,4,494,ABQ,DFW
1310605,-6,494,ABQ,DFW
1310835,-9,494,ABQ,DFW
1310730,-5,494,ABQ,DFW
1311030,1,494,ABQ,DFW
1311135,-8,494,ABQ,DFW
1012355,0,1586,ABQ,JFK
1022355,158,1586,ABQ,JFK
1032355,0,1586,ABQ,JFK
1042355,0,1586,ABQ,JFK
1052355,0,1586,ABQ,JFK
1062355,0,1586,ABQ,JFK
1072359,14,1586,ABQ,JFK
1082358,-4,1586,ABQ,JFK
1092358,20,1586,ABQ,JFK
1102358,-2,1586,ABQ,JFK
1112358,116,1586,ABQ,JFK
1122358,0,1586,ABQ,JFK
1132358,-10,1586,ABQ,JFK
1142359,-17,1586,ABQ,JFK
1152358,135,1586,ABQ,JFK
1162358,-13,1586,ABQ,JFK
1172358,-10,1586,ABQ,JFK
1182358,-17,1586,ABQ,JFK
1192358,-18,1586,ABQ,JFK
1202358,-9,1586,ABQ,JFK
1212359,0,1586,ABQ,JFK
1222358,0,1586,ABQ,JFK
1232358,44,1586,ABQ,JFK
1242358,-6,1586,ABQ,JFK
1252358,-12,1586,ABQ,JFK
1262358,-22,1586,ABQ,JFK
1272358,9,1586,ABQ,JFK
1282359,-20,1586,ABQ,JFK
1292358,17,1586,ABQ,JFK
1302358,7,1586,ABQ,JFK
1312358,-12,1586,ABQ,JFK
1011316,-8,1103,ABQ,ATL
1010730,-4,1103,ABQ,ATL
1011440,-4,852,ABQ,MSP
1010700,-4,852,ABQ,MSP
1020730,-2,1103,ABQ,ATL
1020615,-4,1103,ABQ,ATL
1021326,6,1103,ABQ,ATL
1021440,-4,852,ABQ,MSP
1020700,-4,852,ABQ,MSP
1030730,-2,1103,ABQ,ATL
1030615,0,1103,ABQ,ATL
1031326,6,1103,ABQ,ATL
1031440,6,852,ABQ,MSP
1030700,58,852,ABQ,MSP
1040730,-1,1103,ABQ,ATL
1040615,0,1103,ABQ,ATL
1041326,31,1103,ABQ,ATL
1041440,-3,852,ABQ,MSP
1040700,1,852,ABQ,MSP
1051326,26,1103,ABQ,ATL
1050730,-2,1103,ABQ,ATL
1050615,-2,1103,ABQ,ATL
1051440,40,852,ABQ,MSP
1050700,0,852,ABQ,MSP
1060600,-1,852,ABQ,MSP
1061230,-3,428,ABQ,SLC
1061328,36,1103,ABQ,ATL
1060730,44,1103,ABQ,ATL
1060615,22,1103,ABQ,ATL
1071328,-2,1103,ABQ,ATL
1070615,-2,1103,ABQ,ATL
1081328,16,1103,ABQ,ATL
1080615,-2,1103,ABQ,ATL
1091328,73,1103,ABQ,ATL
1090615,-6,1103,ABQ,ATL
1101328,17,1103,ABQ,ATL
1100615,0,1103,ABQ,ATL
1111328,15,1103,ABQ,ATL
1110615,-1,1103,ABQ,ATL
1121328,-7,1103,ABQ,ATL
1120615,-6,1103,ABQ,ATL
1131328,-3,1103,ABQ,ATL
1130615,-5,1103,ABQ,ATL
1141328,0,1103,ABQ,ATL
1140615,-3,1103,ABQ,ATL
1151328,385,1103,ABQ,ATL
1150615,-4,1103,ABQ,ATL
1161328,11,1103,ABQ,ATL
1160615,-4,1103,ABQ,ATL
1171328,-4,1103,ABQ,ATL
1170615,489,1103,ABQ,ATL
1181328,-7,1103,ABQ,ATL
1180615,-6,1103,ABQ,ATL
1191328,-4,1103,ABQ,ATL
1190615,-4,1103,ABQ,ATL
1201328,9,1103,ABQ,ATL
1200615,0,1103,ABQ,ATL
1211328,-3,1103,ABQ,ATL
1210615,-3,1103,ABQ,ATL
1221328,-5,1103,ABQ,ATL
1220615,-3,1103,ABQ,ATL
1231328,30,1103,ABQ,ATL
1230615,-4,1103,ABQ,ATL
1241328,-2,1103,ABQ,ATL
1240615,1,1103,ABQ,ATL
1251328,-6,1103,ABQ,ATL
1250615,-4,1103,ABQ,ATL
1261328,-1,1103,ABQ,ATL
1260615,-5,1103,ABQ,ATL
1271328,-2,1103,ABQ,ATL
1270615,-6,1103,ABQ,ATL
1281328,0,1103,ABQ,ATL
1280615,0,1103,ABQ,ATL
1291328,141,1103,ABQ,ATL
1290615,-2,1103,ABQ,ATL
1301328,296,1103,ABQ,ATL
1300615,0,1103,ABQ,ATL
1311328,0,1103,ABQ,ATL
1310615,-5,1103,ABQ,ATL
1011712,57,646,ABQ,IAH
1011420,-6,646,ABQ,IAH
1011042,-10,646,ABQ,IAH
1010805,23,646,ABQ,IAH
1011933,0,303,ABQ,DEN
1021726,-6,646,ABQ,IAH
1021411,-6,646,ABQ,IAH
1021050,37,646,ABQ,IAH
1020610,0,646,ABQ,IAH
1020536,0,303,ABQ,DEN
1031712,8,646,ABQ,IAH
1031411,0,646,ABQ,IAH
1031050,0,646,ABQ,IAH
1030610,-1,646,ABQ,IAH
1030536,-7,303,ABQ,DEN
1041712,138,646,ABQ,IAH
1041050,-6,646,ABQ,IAH
1040805,-7,646,ABQ,IAH
1040530,15,303,ABQ,DEN
1050805,-7,646,ABQ,IAH
1061712,26,646,ABQ,IAH
1061411,0,646,ABQ,IAH
1061050,194,646,ABQ,IAH
1060610,-5,646,ABQ,IAH
1060536,0,303,ABQ,DEN
1071053,10,646,ABQ,IAH
1071713,8,646,ABQ,IAH
1070903,0,646,ABQ,IAH
1081713,9,646,ABQ,IAH
1080903,-7,646,ABQ,IAH
1081101,80,646,ABQ,IAH
1080736,-2,303,ABQ,DEN
1091713,51,646,ABQ,IAH
1090903,-7,646,ABQ,IAH
1101713,-6,646,ABQ,IAH
1100903,-7,646,ABQ,IAH
1110903,-12,646,ABQ,IAH
1120903,-7,646,ABQ,IAH
1121713,-4,646,ABQ,IAH
1120720,-1,303,ABQ,DEN
1121722,-12,303,ABQ,DEN
1121007,-10,303,ABQ,DEN
1131713,-4,646,ABQ,IAH
1130903,-6,646,ABQ,IAH
1141101,-9,646,ABQ,IAH
1141713,-10,646,ABQ,IAH
1140903,-10,646,ABQ,IAH
1151713,58,646,ABQ,IAH
1150903,-8,646,ABQ,IAH
1151101,-14,646,ABQ,IAH
1150736,-8,303,ABQ,DEN
1161713,7,646,ABQ,IAH
1160903,-5,646,ABQ,IAH
1171713,-8,646,ABQ,IAH
1170903,23,646,ABQ,IAH
1180903,-10,646,ABQ,IAH
1190903,-7,646,ABQ,IAH
1191713,-2,646,ABQ,IAH
1190720,-5,303,ABQ,DEN
1191722,-14,303,ABQ,DEN
1191007,-9,303,ABQ,DEN
1201713,-2,646,ABQ,IAH
1200903,-3,646,ABQ,IAH
1211101,7,646,ABQ,IAH
1211713,-6,646,ABQ,IAH
1210903,-11,646,ABQ,IAH
1221713,12,646,ABQ,IAH
1220903,-5,646,ABQ,IAH
1221101,-6,646,ABQ,IAH
1220736,-7,303,ABQ,DEN
1231713,0,646,ABQ,IAH
1230903,-6,646,ABQ,IAH
1241713,-8,646,ABQ,IAH
1240903,0,646,ABQ,IAH
1250903,-4,646,ABQ,IAH
1260903,7,646,ABQ,IAH
1261713,1,646,ABQ,IAH
1260720,1,303,ABQ,DEN
1261722,-11,303,ABQ,DEN
1261007,-13,303,ABQ,DEN
1271713,-7,646,ABQ,IAH
1270903,-7,646,ABQ,IAH
1281101,0,646,ABQ,IAH
1281713,0,646,ABQ,IAH
1280903,0,646,ABQ,IAH
1291713,102,646,ABQ,IAH
1290903,146,646,ABQ,IAH
1291101,127,646,ABQ,IAH
1290736,9,303,ABQ,DEN
1301713,-3,646,ABQ,IAH
1300903,-8,646,ABQ,IAH
1311713,1,646,ABQ,IAH
1310903,12,646,ABQ,IAH
1011450,7,303,ABQ,DEN
1021450,32,303,ABQ,DEN
1020800,-8,303,ABQ,DEN
1031450,2,303,ABQ,DEN
1030800,-3,303,ABQ,DEN
1040800,94,303,ABQ,DEN
1050800,-4,303,ABQ,DEN
1060800,140,303,ABQ,DEN
1011950,128,589,ABQ,LAX
